County,County Abbr.,Population,row0,col0,row-p,col-p,row-pn,col-pn,row-f,col-f,row-c,col-c,row-fn,col-fn
Alameda,AM,1559308,1,1,1,1,1,2,1,1,9,6,1,1
Alpine,AL,1202,1,2,1,2,1,3,1,2,7,7,1,2
Amador,AD,37159,1,3,1,3,1,4,1,3,6,6,2,0.5
Butte,BU,221578,1,4,1,4,2,2.5,1,4,3,3,2,1.5
Calaveras,CA,44921,2,1.5,2,1.5,2,3.5,2,1.5,8,7,3,1
Colusa,CO,21424,2,2.5,2,2.5,2,4.5,2,2.5,5,3,3,2
Contra Costa,CC,1081232,2,3.5,2,3.5,3,2,2,3.5,8,5,4,0.5
Del Norte,DN,28066,2,4.5,2,0.5,3,3,2,0.5,1,1,4,1.5
El Dorado,ED,181465,3,1,3,1,3,4,3,1,5,6,5,1
Fresno,FR,948844,3,2,3,2,14,7.5,3,2,11,8,5,2
Glenn,GL,28019,3,3,3,3,4,2.5,3,3,4,3,6,0.5
Humboldt,HU,134876,3,4,3,4,4,3.5,3,4,2,1,6,1.5
Imperial,IM,177026,4,2.5,4,2.5,4,4.5,4,2.5,14,11,7,1
Inyo,IN,18439,4,3.5,4,3.5,5,2,4,3.5,11,9,7,2
Kern,KE,857730,4,4.5,4,4.5,5,3,4,4.5,13,8,8,0.5
Kings,KI,151390,4,5.5,4,5.5,5,4,4,5.5,12,8,8,1.5
Lake,LK,64209,4,6.5,4,1.5,5,5,4,1.5,4,2,9,1
Lassen,LS,33356,5,3,5,3,6,2.5,5,3,1,4,9,2
Los Angeles,LA,9974203,5,4,5,4,6,3.5,5,4,13,10,10,0.5
Madera,MD,152452,5,5,5,5,6,4.5,5,5,5,2,10,1.5
Marin,MA,256802,5,6,5,6,6,5.5,5,6,7,4,10,2.5
Mariposa,MR,17946,6,3.5,6,3.5,7,3,6,3.5,10,8,11,1
Mendocino,MC,87612,6,4.5,6,4.5,7,4,6,4.5,3,1,11,2
Merced,ME,261609,6,5.5,6,5.5,7,5,6,5.5,10,6,11,3
Modoc,M,9335,6,6.5,6,6.5,7,6,6,6.5,1,3,12,1.5
Mono,MN,14193,7,4,7,4,8,3.5,7,4,10,9,12,2.5
Monterey,MT,424927,7,5,7,5,8,4.5,7,5,11,6,13,1
Napa,NA,139253,7,6,7,6,8,5.5,7,6,7,5,13,2
Nevada,NV,98606,7,7,7,7,8,6.5,7,7,4,5,13,3
Orange,OR,3086331,8,4.5,8,4.5,8,7.5,8,4.5,14,9,14,1.5
Placer,PL,361518,8,5.5,8,5.5,9,4,8,5.5,5,5,14,2.5
Plumas,PM,19286,8,6.5,8,6.5,9,5,8,6.5,2,4,14,3.5
Riverside,RV,2266899,8,7.5,8,7.5,9,6,8,7.5,13,11,15,1
Sacramento,SA,1450277,9,5,9,5,9,7,9,5,6,5,15,2
San Benito,BN,56888,9,6,9,6,9,8,9,6,11,7,15,3
San Bernardino,SB,2078586,9,7,9,7,10,4.5,9,7,12,10,15,4
San Diego,SD,3183143,9,8,9,8,10,5.5,9,8,14,10,16,1.5
San Francisco,SF,829072,10,5.5,10,5.5,10,6.5,10,5.5,8,4,16,2.5
San Joaquin,SJ,701050,10,6.5,10,6.5,10,7.5,10,6.5,8,6,16,3.5
San Luis Obispo,LO,274184,10,7.5,10,7.5,10,8.6,10,7.5,12,7,16,4.5
San Mateo,SM,739837,10,8.5,10,8.5,11,5,10,8.5,9,5,17,2
Santa Barbara,BR,431555,10,9.5,12,7.5,11,6,12,7.5,13,7,17,3
Santa Clara,SC,1841569,11,6,11,6,11,7,11,6,10,7,17,4
Santa Cruz,SZ,267203,11,7,11,7,11,8,11,7,10,5,17,5
Shasta,SH,178520,11,8,11,8,11,9,11,8,2,3,18,2.5
Sierra,SE,3019,11,9,11,9,2,1.5,11,9,3,4,18,3.5
Siskiyou,SK,44261,12,7.5,12,7.5,12,5.5,12,7.5,1,2,18,4.5
Solano,SL,421624,12,8.5,12,8.5,12,6.5,12,8.5,7,6,18,5.5
Sonoma,SN,491790,12,9.5,12,9.5,12,7.5,12,9.5,6,3,19,3
Stanislaus,ST,522794,12,10.5,12,10.5,12,8.5,12,10.5,9,7,19,4
Sutter,SU,95067,13,7,13,7,12,9.5,13,7,5,4,19,5
Tehama,TE,63284,13,8,13,8,4,1.5,13,8,3,2,20,3.5
Trinity,TR,13515,13,9,13,9,13,7,13,9,2,2,20,4.5
Tulare,TL,451108,13,10,13,10,13,8,13,10,12,9,20,5.5
Tuolumne,TU,54347,13,11,13,11,13,9,13,11,9,8,21,4
Ventura,VE,835790,14,9.5,14,9.5,13,10,14,9.5,13,9,21,5
Yolo,YO,204162,14,10.5,14,10.5,14,8.5,14,10.5,6,4,22,4.5
Yuba,YU,73059,14,11.5,14,8.5,14,9.5,14,8.5,4,4,22,5.5
