ind_id,ind_definition,ReportYear,race_eth_code,race_eth_name,Geotype,Geotypevalue,Geoname,County_Name,COUNTY_FIPS,Region_name,Region_Code,strata_one_code,strata_one_name,strata_two_code,strata_two_name,Numerator,denominator,estimate,LL_95CI,UL_95CI,SE,RSE,CA_decile,CA_RR,version
791,Projected number of extreme heat days,2050,9,Total,CO,06001,Alameda,Alameda,06001,Bay Area,01,,,,,92.65364832,,19.8,,,,,,,12/6/16 9:28
791,Projected number of extreme heat days,2085,9,Total,CO,06001,Alameda,Alameda,06001,Bay Area,01,,,,,92.65364832,,33.23333333,,,,,,,12/6/16 9:28
791,Projected number of extreme heat days,2050,9,Total,CO,06003,Alpine,Alpine,06003,Central/Southeast Sierra,03,,,,,82.13632165,,38.63333333,,,,,,,12/6/16 9:28
791,Projected number of extreme heat days,2085,9,Total,CO,06003,Alpine,Alpine,06003,Central/Southeast Sierra,03,,,,,82.13632165,,74.53333333,,,,,,,12/6/16 9:28
791,Projected number of extreme heat days,2050,9,Total,CO,06005,Amador,Amador,06005,Central/Southeast Sierra,03,,,,,96.49791489,,41.43333333,,,,,,,12/6/16 9:28
791,Projected number of extreme heat days,2085,9,Total,CO,06005,Amador,Amador,06005,Central/Southeast Sierra,03,,,,,96.49791489,,71.26666667,,,,,,,12/6/16 9:28
791,Projected number of extreme heat days,2050,9,Total,CO,06007,Butte,Butte,06007,Butte,02,,,,,100.2160043,,37.53333333,,,,,,,12/6/16 9:28
791,Projected number of extreme heat days,2085,9,Total,CO,06007,Butte,Butte,06007,Butte,02,,,,,100.2160043,,71.36666667,,,,,,,12/6/16 9:28
791,Projected number of extreme heat days,2050,9,Total,CO,06009,Calaveras,Calaveras,06009,Central/Southeast Sierra,03,,,,,97.92296202,,40.36666667,,,,,,,12/6/16 9:28
791,Projected number of extreme heat days,2085,9,Total,CO,06009,Calaveras,Calaveras,06009,Central/Southeast Sierra,03,,,,,97.92296202,,69.06666667,,,,,,,12/6/16 9:28
791,Projected number of extreme heat days,2050,9,Total,CO,06011,Colusa,Colusa,06011,Northern Sacramento Valley,07,,,,,101.7458455,,33.76666667,,,,,,,12/6/16 9:28
791,Projected number of extreme heat days,2085,9,Total,CO,06011,Colusa,Colusa,06011,Northern Sacramento Valley,07,,,,,101.7458455,,62.9,,,,,,,12/6/16 9:28
791,Projected number of extreme heat days,2050,9,Total,CO,06013,Contra Costa,Contra Costa,06013,Bay Area,01,,,,,96.83498487,,22.76666667,,,,,,,12/6/16 9:28
791,Projected number of extreme heat days,2085,9,Total,CO,06013,Contra Costa,Contra Costa,06013,Bay Area,01,,,,,96.83498487,,40.33333333,,,,,,,12/6/16 9:28
791,Projected number of extreme heat days,2050,9,Total,CO,06015,Del Norte,Del Norte,06015,North Coast,05,,,,,76.81090343,,19.1,,,,,,,12/6/16 9:28
791,Projected number of extreme heat days,2085,9,Total,CO,06015,Del Norte,Del Norte,06015,North Coast,05,,,,,76.81090343,,73.73333333,,,,,,,12/6/16 9:28
791,Projected number of extreme heat days,2050,9,Total,CO,06017,El Dorado,El Dorado,06017,Sacramento Area,08,,,,,92.9889043,,42.36666667,,,,,,,12/6/16 9:28
791,Projected number of extreme heat days,2085,9,Total,CO,06017,El Dorado,El Dorado,06017,Sacramento Area,08,,,,,92.9889043,,73.76666667,,,,,,,12/6/16 9:28
791,Projected number of extreme heat days,2050,9,Total,CO,06019,Fresno,Fresno,06019,San Joaquin Valley,10,,,,,94.64873065,,44.26666667,,,,,,,12/6/16 9:28
791,Projected number of extreme heat days,2085,9,Total,CO,06019,Fresno,Fresno,06019,San Joaquin Valley,10,,,,,94.64873065,,77.93333333,,,,,,,12/6/16 9:28
791,Projected number of extreme heat days,2050,9,Total,CO,06021,Glenn,Glenn,06021,Northern Sacramento Valley,07,,,,,100.076182,,31.8,,,,,,,12/6/16 9:28
791,Projected number of extreme heat days,2085,9,Total,CO,06021,Glenn,Glenn,06021,Northern Sacramento Valley,07,,,,,100.076182,,60.53333333,,,,,,,12/6/16 9:28
791,Projected number of extreme heat days,2050,9,Total,CO,06023,Humboldt,Humboldt,06023,North Coast,05,,,,,82.61497841,,18.66666667,,,,,,,12/6/16 9:28
791,Projected number of extreme heat days,2085,9,Total,CO,06023,Humboldt,Humboldt,06023,North Coast,05,,,,,82.61497841,,58.4,,,,,,,12/6/16 9:28
791,Projected number of extreme heat days,2050,9,Total,CO,06025,Imperial,Imperial,06025,Southern California,14,,,,,111.2575801,,43.43333333,,,,,,,12/6/16 9:28
791,Projected number of extreme heat days,2085,9,Total,CO,06025,Imperial,Imperial,06025,Southern California,14,,,,,111.2575801,,80.9,,,,,,,12/6/16 9:28
791,Projected number of extreme heat days,2050,9,Total,CO,06027,Inyo,Inyo,06027,Central/Southeast Sierra,03,,,,,100.3176958,,44.06666667,,,,,,,12/6/16 9:28
791,Projected number of extreme heat days,2085,9,Total,CO,06027,Inyo,Inyo,06027,Central/Southeast Sierra,03,,,,,100.3176958,,80.53333333,,,,,,,12/6/16 9:28
791,Projected number of extreme heat days,2050,9,Total,CO,06029,Kern,Kern,06029,San Joaquin Valley,10,,,,,100.6951518,,39.13333333,,,,,,,12/6/16 9:28
791,Projected number of extreme heat days,2085,9,Total,CO,06029,Kern,Kern,06029,San Joaquin Valley,10,,,,,100.6951518,,66.63333333,,,,,,,12/6/16 9:28
791,Projected number of extreme heat days,2050,9,Total,CO,06031,Kings,Kings,06031,San Joaquin Valley,10,,,,,104.2075295,,38.6,,,,,,,12/6/16 9:28
791,Projected number of extreme heat days,2085,9,Total,CO,06031,Kings,Kings,06031,San Joaquin Valley,10,,,,,104.2075295,,70.83333333,,,,,,,12/6/16 9:28
791,Projected number of extreme heat days,2050,9,Total,CO,06033,Lake,Lake,06033,North Coast,05,,,,,97.24708233,,23.63333333,,,,,,,12/6/16 9:28
791,Projected number of extreme heat days,2085,9,Total,CO,06033,Lake,Lake,06033,North Coast,05,,,,,97.24708233,,45.6,,,,,,,12/6/16 9:28
791,Projected number of extreme heat days,2050,9,Total,CO,06035,Lassen,Lassen,06035,Northeast Sierra,06,,,,,91.7394165,,33.93333333,,,,,,,12/6/16 9:28
791,Projected number of extreme heat days,2085,9,Total,CO,06035,Lassen,Lassen,06035,Northeast Sierra,06,,,,,91.7394165,,73.96666667,,,,,,,12/6/16 9:28
791,Projected number of extreme heat days,2050,9,Total,CO,06037,Los Angeles,Los Angeles,06037,Southern California,14,,,,,94.96389157,,36.93333333,,,,,,,12/6/16 9:28
791,Projected number of extreme heat days,2085,9,Total,CO,06037,Los Angeles,Los Angeles,06037,Southern California,14,,,,,94.96389157,,65.9,,,,,,,12/6/16 9:28
791,Projected number of extreme heat days,2050,9,Total,CO,06039,Madera,Madera,06039,San Joaquin Valley,10,,,,,95.66027645,,43.2,,,,,,,12/6/16 9:28
791,Projected number of extreme heat days,2085,9,Total,CO,06039,Madera,Madera,06039,San Joaquin Valley,10,,,,,95.66027645,,77.43333333,,,,,,,12/6/16 9:28
791,Projected number of extreme heat days,2050,9,Total,CO,06041,Marin,Marin,06041,Bay Area,01,,,,,94.9100306,,13.3,,,,,,,12/6/16 9:28
791,Projected number of extreme heat days,2085,9,Total,CO,06041,Marin,Marin,06041,Bay Area,01,,,,,94.9100306,,23.63333333,,,,,,,12/6/16 9:28
791,Projected number of extreme heat days,2050,9,Total,CO,06043,Mariposa,Mariposa,06043,Central/Southeast Sierra,03,,,,,95.04920323,,41.53333333,,,,,,,12/6/16 9:28
791,Projected number of extreme heat days,2085,9,Total,CO,06043,Mariposa,Mariposa,06043,Central/Southeast Sierra,03,,,,,95.04920323,,73.43333333,,,,,,,12/6/16 9:28
791,Projected number of extreme heat days,2050,9,Total,CO,06045,Mendocino,Mendocino,06045,North Coast,05,,,,,90.02443206,,19.46666667,,,,,,,12/6/16 9:28
791,Projected number of extreme heat days,2085,9,Total,CO,06045,Mendocino,Mendocino,06045,North Coast,05,,,,,90.02443206,,44.53333333,,,,,,,12/6/16 9:28
791,Projected number of extreme heat days,2050,9,Total,CO,06047,Merced,Merced,06047,San Joaquin Valley,10,,,,,102.0466429,,38.5,,,,,,,12/6/16 9:28
791,Projected number of extreme heat days,2085,9,Total,CO,06047,Merced,Merced,06047,San Joaquin Valley,10,,,,,102.0466429,,68.06666667,,,,,,,12/6/16 9:28
791,Projected number of extreme heat days,2050,9,Total,CO,06049,Modoc,Modoc,06049,Northeast Sierra,06,,,,,92.53519237,,36.6,,,,,,,12/6/16 9:28
791,Projected number of extreme heat days,2085,9,Total,CO,06049,Modoc,Modoc,06049,Northeast Sierra,06,,,,,92.53519237,,78.1,,,,,,,12/6/16 9:28
